budget,popularity,runtime,vote_count,revenue,release_year,genres,director,vote_average,profit,roi
237000000.0,150.437577,162.0,11800,2787965087.0,2009,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",James Cameron,7.2,2550965087.0,11.763565767932489
300000000.0,139.082615,169.0,4500,961000000.0,2007,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,6.9,661000000.0,3.203333333333333
245000000.0,107.376788,148.0,4466,880674609.0,2015,"['Action', 'Adventure', 'Crime']",Sam Mendes,6.3,635674609.0,3.5945902408163266
250000000.0,112.31295,165.0,9106,1084939099.0,2012,"['Action', 'Crime', 'Drama', 'Thriller']",Christopher Nolan,7.6,834939099.0,4.339756396
260000000.0,43.926995,132.0,2124,284139100.0,2012,"['Action', 'Adventure', 'Science Fiction']",Andrew Stanton,6.1,24139100.0,1.0928426923076924
258000000.0,115.699814,139.0,3576,890871626.0,2007,"['Fantasy', 'Action', 'Adventure']",Sam Raimi,5.9,632871626.0,3.4529907984496124
260000000.0,48.681969,100.0,3330,591794936.0,2010,"['Animation', 'Family']",Byron Howard,7.4,331794936.0,2.2761343692307694
280000000.0,134.279229,141.0,6767,1405403694.0,2015,"['Action', 'Adventure', 'Science Fiction']",Joss Whedon,7.3,1125403694.0,5.019298907142857
250000000.0,98.885637,153.0,5293,933959197.0,2009,"['Adventure', 'Fantasy', 'Family']",David Yates,7.4,683959197.0,3.735836788
250000000.0,155.790452,151.0,7004,873260194.0,2016,"['Action', 'Adventure', 'Fantasy']",Zack Snyder,5.7,623260194.0,3.493040776
270000000.0,57.925623,154.0,1400,391081192.0,2006,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Bryan Singer,5.4,121081192.0,1.4484488592592593
200000000.0,107.928811,106.0,2965,586090727.0,2008,"['Adventure', 'Action', 'Thriller', 'Crime']",Marc Forster,6.1,386090727.0,2.930453635
200000000.0,145.847379,151.0,5246,1065659812.0,2006,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,7.0,865659812.0,5.32829906
255000000.0,49.046956,149.0,2311,89289910.0,2013,"['Action', 'Adventure', 'Western']",Gore Verbinski,5.9,-165710090.0,0.35015650980392155
225000000.0,99.398009,143.0,6359,662845518.0,2013,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Zack Snyder,6.5,437845518.0,2.94598008
225000000.0,53.978602,150.0,1630,419651413.0,2008,"['Adventure', 'Family', 'Fantasy']",Andrew Adamson,6.3,194651413.0,1.8651173911111112
220000000.0,144.448633,143.0,11776,1519557910.0,2012,"['Science Fiction', 'Action', 'Adventure']",Joss Whedon,7.4,1299557910.0,6.907081409090909
380000000.0,135.413856,136.0,4948,1045713802.0,2011,"['Adventure', 'Action', 'Fantasy']",Rob Marshall,6.4,665713802.0,2.7518784263157894
225000000.0,52.035179,106.0,4160,624026776.0,2012,"['Action', 'Comedy', 'Science Fiction']",Barry Sonnenfeld,6.2,399026776.0,2.773452337777778
250000000.0,120.965743,144.0,4760,956019788.0,2014,"['Action', 'Adventure', 'Fantasy']",Peter Jackson,7.1,706019788.0,3.824079152
215000000.0,89.866276,136.0,6586,752215857.0,2012,"['Action', 'Adventure', 'Fantasy']",Marc Webb,6.5,537215857.0,3.4986784046511628
200000000.0,37.668301,140.0,1398,310669540.0,2010,"['Action', 'Adventure']",Ridley Scott,6.2,110669540.0,1.5533477
250000000.0,94.370564,161.0,4524,958400000.0,2013,"['Adventure', 'Fantasy']",Peter Jackson,7.6,708400000.0,3.8336
180000000.0,42.990906,113.0,1303,372234864.0,2007,"['Adventure', 'Fantasy']",Chris Weitz,5.8,192234864.0,2.0679714666666666
207000000.0,61.22601,187.0,2337,550000000.0,2005,"['Adventure', 'Drama', 'Action']",Peter Jackson,6.6,343000000.0,2.657004830917874
200000000.0,100.025899,194.0,7562,1845034188.0,1997,"['Drama', 'Romance', 'Thriller']",James Cameron,7.5,1645034188.0,9.22517094
250000000.0,198.372395,147.0,7241,1153304495.0,2016,"['Adventure', 'Action', 'Science Fiction']",Anthony Russo,7.1,903304495.0,4.61321798
209000000.0,64.928382,131.0,2114,303025485.0,2012,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",Peter Berg,5.5,94025485.0,1.4498827033492823
150000000.0,418.708552,124.0,8662,1513528810.0,2015,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Colin Trevorrow,6.5,1363528810.0,10.090192066666667
200000000.0,93.004993,143.0,7604,1108561013.0,2012,"['Action', 'Adventure', 'Thriller']",Sam Mendes,6.9,908561013.0,5.542805065
200000000.0,35.149586,127.0,4321,783766341.0,2004,"['Action', 'Adventure', 'Fantasy']",Sam Raimi,6.7,583766341.0,3.918831705
200000000.0,77.68208,130.0,8806,1215439994.0,2013,"['Action', 'Adventure', 'Science Fiction']",Shane Black,6.8,1015439994.0,6.07719997
200000000.0,78.530105,108.0,4645,1025491110.0,2010,"['Family', 'Fantasy', 'Adventure']",Tim Burton,6.4,825491110.0,5.12745555
210000000.0,3.857526,104.0,3525,459359555.0,2006,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Brett Ratner,6.3,249359555.0,2.1874264523809526
200000000.0,89.186492,104.0,3528,743559607.0,2013,"['Animation', 'Family']",Dan Scanlon,7.0,543559607.0,3.717798035
150000000.0,21.939663,150.0,3138,836297228.0,2009,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,6.0,686297228.0,5.575314853333333
210000000.0,116.840296,165.0,3095,1091405097.0,2014,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,5.8,881405097.0,5.1971671285714285
200000000.0,46.985445,130.0,3530,491868548.0,2013,"['Fantasy', 'Adventure', 'Family']",Sam Raimi,5.7,291868548.0,2.45934274
200000000.0,89.270217,142.0,4179,705717432.0,2014,"['Action', 'Adventure', 'Fantasy']",Marc Webb,6.5,505717432.0,3.52858716
170000000.0,73.79505,125.0,2841,400062763.0,2010,"['Adventure', 'Action', 'Science Fiction']",Joseph Kosinski,6.3,230062763.0,2.3533103705882352
200000000.0,49.98659,106.0,2033,559852396.0,2011,"['Animation', 'Family', 'Adventure', 'Comedy']",John Lasseter,5.8,359852396.0,2.79926198
200000000.0,51.872839,114.0,2487,219851172.0,2011,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Martin Campbell,5.1,19851172.0,1.09925586
200000000.0,59.995418,103.0,4597,1066969703.0,2010,"['Animation', 'Family', 'Comedy']",Lee Unkrich,7.6,866969703.0,5.334848515
200000000.0,71.862892,115.0,2463,371353001.0,2009,"['Action', 'Science Fiction', 'Thriller']",McG,5.9,171353001.0,1.856765005
190000000.0,102.322217,137.0,4176,1506249360.0,2015,['Action'],James Wan,7.3,1316249360.0,7.927628210526316
200000000.0,81.834855,116.0,5560,531865000.0,2013,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",Marc Forster,6.7,331865000.0,2.659325
250000000.0,118.078691,131.0,6032,747862775.0,2014,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Bryan Singer,7.5,497862775.0,2.9914511
190000000.0,78.291018,132.0,4418,467365246.0,2013,"['Action', 'Adventure', 'Science Fiction']",J.J. Abrams,7.4,277365246.0,2.4598170842105263
195000000.0,43.349855,114.0,2598,197687603.0,2013,"['Action', 'Family', 'Fantasy']",Bryan Singer,5.5,2687603.0,1.0137825794871795
105000000.0,61.196071,143.0,3769,351040419.0,2013,"['Drama', 'Romance']",Baz Luhrmann,7.3,246040419.0,3.3432420857142855
150000000.0,62.169881,116.0,2317,335154643.0,2010,"['Adventure', 'Fantasy', 'Action', 'Romance']",Mike Newell,6.2,185154643.0,2.2343642866666666
180000000.0,56.523205,131.0,4794,407602906.0,2013,"['Action', 'Science Fiction', 'Adventure']",Guillermo del Toro,6.7,227602906.0,2.264460588888889
195000000.0,28.529607,154.0,3299,1123746996.0,2011,"['Action', 'Science Fiction', 'Adventure']",Michael Bay,6.1,928746996.0,5.762805107692308
185000000.0,75.674458,122.0,2495,786636033.0,2008,"['Adventure', 'Action']",Steven Spielberg,5.7,601636033.0,4.252086664864865
175000000.0,51.692953,93.0,1736,331926147.0,2015,"['Adventure', 'Animation', 'Family']",Peter Sohn,6.6,156926147.0,1.89672084
185000000.0,125.114374,93.0,4641,538983207.0,2012,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",Brenda Chapman,6.7,353983207.0,2.9134227405405406
185000000.0,65.352913,122.0,2568,343471816.0,2016,"['Action', 'Adventure', 'Science Fiction']",Justin Lin,6.6,158471816.0,1.8566044108108108
180000000.0,66.390712,98.0,6296,521311860.0,2008,"['Animation', 'Family']",Andrew Stanton,7.8,341311860.0,2.896177
140000000.0,22.57178,91.0,783,258022233.0,2007,"['Action', 'Comedy', 'Crime', 'Thriller']",Brett Ratner,6.1,118022233.0,1.84301595
200000000.0,45.274225,158.0,4903,769653595.0,2009,"['Action', 'Adventure', 'Science Fiction']",Roland Emmerich,5.6,569653595.0,3.848267975
200000000.0,39.744242,96.0,1095,325233863.0,2009,"['Animation', 'Drama']",Robert Zemeckis,6.6,125233863.0,1.626169315
176000003.0,85.36908,124.0,2768,183987723.0,2015,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",Lilly Wachowski,5.2,7987720.0,1.0453847719536686
180000000.0,42.741719,109.0,2430,356743061.0,2016,"['Action', 'Adventure']",David Yates,5.5,176743061.0,1.9819058944444445
180000000.0,67.391328,143.0,2629,748806957.0,2005,"['Adventure', 'Family', 'Fantasy']",Andrew Adamson,6.7,568806957.0,4.16003865
178000000.0,139.272042,144.0,4721,543934787.0,2016,['Science Fiction'],Bryan Singer,6.4,365934787.0,3.0558134101123597
185000000.0,187.322927,152.0,12002,1004558444.0,2008,"['Drama', 'Action', 'Crime', 'Thriller']",Christopher Nolan,8.2,819558444.0,5.430045643243243
175000000.0,92.201962,96.0,6870,735099082.0,2009,"['Animation', 'Comedy', 'Family', 'Adventure']",Pete Docter,7.7,560099082.0,4.200566182857143
175000000.0,36.167578,94.0,1423,381509870.0,2009,"['Animation', 'Family', 'Adventure', 'Science Fiction']",Conrad Vernon,6.0,206509870.0,2.1800564
140000000.0,120.725053,126.0,8776,585174222.0,2008,"['Action', 'Science Fiction', 'Adventure']",Jon Favreau,7.4,445174222.0,4.179815871428572
170000000.0,32.319043,126.0,2141,185770160.0,2011,"['Adventure', 'Drama', 'Family']",Martin Scorsese,7.0,15770160.0,1.0927656470588236
170000000.0,40.748915,106.0,1020,222104681.0,1999,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",Barry Sonnenfeld,5.1,52104681.0,1.3064981235294117
145000000.0,60.034162,112.0,1387,401128639.0,2008,"['Adventure', 'Action', 'Fantasy']",Rob Cohen,5.2,256128639.0,2.7664044068965516
175000000.0,90.23792,123.0,7458,745000000.0,2016,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",David Ayer,5.9,570000000.0,4.257142857142857
175000000.0,27.082182,96.0,1151,173000000.0,2007,"['Fantasy', 'Comedy', 'Family']",Tom Shadyac,5.3,-2000000.0,0.9885714285714285
178000000.0,79.456485,113.0,4858,370541256.0,2014,"['Action', 'Science Fiction']",Doug Liman,7.6,192541256.0,2.081692449438202
175000000.0,44.640292,135.0,992,264218220.0,1995,"['Adventure', 'Action']",Kevin Reynolds,5.9,89218220.0,1.5098184
175000000.0,32.852443,118.0,1962,302469017.0,2009,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Stephen Sommers,5.6,127469017.0,1.7283943828571429
175000000.0,128.655964,94.0,6560,857611174.0,2015,"['Drama', 'Comedy', 'Animation', 'Family']",Pete Docter,8.0,682611174.0,4.90063528
175000000.0,94.199316,106.0,2892,966550600.0,2016,"['Family', 'Adventure', 'Drama', 'Fantasy']",Jon Favreau,6.7,791550600.0,5.523146285714286
200000000.0,77.300194,124.0,6849,623933331.0,2010,"['Adventure', 'Action', 'Science Fiction']",Jon Favreau,6.6,423933331.0,3.119666655
170000000.0,77.178973,127.0,3118,396600000.0,2012,"['Adventure', 'Fantasy', 'Drama']",Rupert Sanders,5.8,226600000.0,2.3329411764705883
180000000.0,110.620647,97.0,4496,758539785.0,2014,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",Robert Stromberg,7.0,578539785.0,4.214109916666667
170000000.0,243.791743,130.0,4410,710644566.0,2014,"['Science Fiction', 'Action', 'Drama', 'Thriller']",Matt Reeves,7.3,540644566.0,4.180262152941176
27000000.0,2.418535,109.0,34,51751835.0,2015,"['Action', 'Adventure', 'Science Fiction', 'Romance']",Roland Joffé,4.8,24751835.0,1.9167346296296297
175000000.0,41.796339,119.0,1326,150962475.0,2013,"['Drama', 'Action', 'Adventure', 'Fantasy']",Carl Rinsch,5.9,-24037525.0,0.8626427142857143
170000000.0,72.225265,136.0,5764,714766572.0,2014,"['Action', 'Adventure', 'Science Fiction']",Anthony Russo,7.6,544766572.0,4.204509247058824
