budget,popularity,runtime,vote_count,revenue,release_year,release_decade,profit,roi,profit_margin,log_budget,log_revenue,log_profit,log_roi,log_vote_count,genre_count,cast_count,overview_length,overview_sentiment,tagline_length,tagline_sentiment,popularity_per_vote,revenue_per_vote,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music,genre_War,genre_Documentary,genre_Western,genre_Foreign,genre_TV Movie,director_Unknown,director_Steven Spielberg,director_Woody Allen,director_Clint Eastwood,director_Martin Scorsese,director_Robert Rodriguez,director_Spike Lee,director_Ridley Scott,director_Renny Harlin,director_Steven Soderbergh,director_Tim Burton,director_Oliver Stone,director_Ron Howard,director_Joel Schumacher,director_Robert Zemeckis,director_Barry Levinson,director_Brian De Palma,director_Michael Bay,director_Francis Ford Coppola,director_Kevin Smith,director_Tony Scott,director_Sam Raimi,director_Rob Reiner,director_Chris Columbus,director_Richard Donner,director_Shawn Levy,director_Bobby Farrelly,director_Richard Linklater,director_Joel Coen,director_Paul W.S. Anderson,director_Wes Craven,director_John Carpenter,director_Stephen Frears,director_David Fincher,director_John McTiernan,director_Tyler Perry,director_Dennis Dugan,director_Brett Ratner,director_Lasse Hallström,director_Rob Cohen,director_M. Night Shyamalan,director_Peter Jackson,director_Phillip Noyce,director_Quentin Tarantino,director_Bryan Singer,director_Simon West,director_Jay Roach,director_Roland Emmerich,director_Adam Shankman,director_Neil Jordan,writer_Unknown,writer_Woody Allen,writer_Luc Besson,writer_Ian Fleming,writer_David Koepp,writer_Joel Coen,writer_Brian Helgeland,writer_David Mamet,writer_George Lucas,writer_Stephen King,writer_Robert Rodriguez,writer_Akiva Goldsman,writer_Ted Elliott,writer_Oliver Stone,writer_Kevin Smith,writer_William Goldman,writer_John Logan,writer_Sylvester Stallone,writer_Francis Ford Coppola,writer_Stan Lee,writer_Quentin Tarantino,writer_Tyler Perry,writer_M. Night Shyamalan,writer_Bobby Farrelly,writer_Richard LaGravenese,writer_Adam Sandler,writer_Ehren Kruger,writer_Marlon Wayans,writer_Spike Lee,writer_Steve Oedekerk,writer_Peter Jackson,writer_Richard Linklater,writer_Wes Craven,writer_Steven Zaillian,writer_David Twohy,writer_Christopher Nolan,writer_Aline Brosh McKenna,writer_Harold Ramis,writer_Tony Gilroy,writer_Eric Roth,writer_Frank Miller,writer_David S. Goyer,writer_Andrew Stanton,writer_Ed Solomon,writer_David Ayer,writer_Steven E. de Souza,writer_Peter Morgan,writer_Paul Haggis,writer_Richard Curtis,writer_John Hughes,cast_Robert De Niro,cast_Bruce Willis,cast_Matt Damon,cast_Samuel L. Jackson,cast_Nicolas Cage,cast_Johnny Depp,cast_Brad Pitt,cast_Tom Hanks,cast_Denzel Washington,cast_Morgan Freeman,cast_Ben Stiller,cast_Eddie Murphy,cast_Tom Cruise,cast_Mark Wahlberg,cast_Harrison Ford,cast_Julia Roberts,cast_John Travolta,cast_George Clooney,cast_Cameron Diaz,cast_Ewan McGregor,cast_Owen Wilson,cast_Will Ferrell,cast_Arnold Schwarzenegger,cast_Nicole Kidman,cast_Robin Williams,cast_Sylvester Stallone,cast_Adam Sandler,cast_Meryl Streep,cast_Sandra Bullock,cast_Matthew McConaughey,cast_Kevin Costner,cast_Julianne Moore,cast_Liam Neeson,cast_Pierce Brosnan,cast_Sean Connery,cast_Jim Carrey,cast_Gerard Butler,cast_Anthony Hopkins,cast_Drew Barrymore,cast_Russell Crowe,cast_Alec Baldwin,cast_John Cusack,cast_Tommy Lee Jones,cast_Susan Sarandon,cast_Cate Blanchett,cast_Jeff Bridges,cast_Christian Bale,cast_Mel Gibson,cast_Kate Winslet,cast_Jason Statham,cast_Charlize Theron,cast_Angelina Jolie,cast_Keanu Reeves,cast_Leonardo DiCaprio,cast_Will Smith,cast_Anne Hathaway,cast_Hugh Jackman,cast_Jake Gyllenhaal,cast_Ethan Hawke,cast_Robert Downey Jr.,cast_Ben Affleck,cast_Gary Oldman,cast_Dwayne Johnson,cast_Gene Hackman,cast_Ben Kingsley,cast_Aaron Eckhart,cast_Kirsten Dunst,cast_Paul Rudd,cast_Antonio Banderas,cast_Forest Whitaker,cast_Jude Law,cast_Al Pacino,cast_Ralph Fiennes,cast_Val Kilmer,cast_Philip Seymour Hoffman,cast_Natalie Portman,cast_Steve Carell,cast_Reese Witherspoon,cast_Christopher Plummer,cast_Scarlett Johansson,cast_Ice Cube,cast_Jennifer Aniston,cast_John Goodman,cast_Sigourney Weaver,cast_Dennis Quaid,cast_Dustin Hoffman,cast_Colin Farrell,cast_Jennifer Lopez,cast_Mark Ruffalo,cast_Richard Gere,cast_Joaquin Phoenix,cast_Vince Vaughn,cast_Rachel McAdams,cast_Robert Duvall,cast_Brendan Fraser,cast_Catherine Keener,cast_Kurt Russell,cast_Naomi Watts,cast_Jack Black,cast_Diane Keaton,vote_average
237000000.0,150.437577,162.0,11800,2787965087.0,2009,2000,2550965087.0,11.763565767932489,10.763565722516601,19.283570703318816,21.74857780752812,21.65973759039895,2.546594687775604,9.375939552625749,4,3,28,0.041666666666666664,5,0.0,0.012747866875688501,236248.20667740022,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2
300000000.0,139.082615,169.0,4500,961000000.0,2007,2000,661000000.0,3.203333333333333,2.203333325988889,19.519293035953808,20.68348496797515,20.30926439932882,1.4358778613087184,8.412054873292933,3,3,34,-0.08333333333333333,9,0.0,0.03090038102643857,213508.10930904243,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
245000000.0,107.376788,148.0,4466,880674609.0,2015,2010,635674609.0,3.5945902408163266,2.5945902302261623,19.316768772590635,20.59619877401982,20.27019737088563,1.5248795768185537,8.404472321352118,3,3,41,-0.30624999999999997,5,0.0,0.02403778553839266,197151.2444593687,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3
250000000.0,112.31295,165.0,9106,1084939099.0,2012,2010,834939099.0,4.339756396,3.3397563826409744,19.33697147982652,20.804789693331283,20.54286934602357,1.675180033204946,9.11679862756782,4,3,65,-0.0448051948051948,3,0.0,0.012332595805424399,119132.43647743494,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
260000000.0,43.926995,132.0,2124,284139100.0,2012,2010,24139100.0,1.0928426923076924,0.09284269195060503,19.376192192825954,19.46497446846993,16.999343531846574,0.7385232816845293,7.661527081358517,3,3,55,-0.01666666666666666,7,0.0,0.020671527058823528,133712.51764705882,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1
258000000.0,115.699814,139.0,3576,890871626.0,2007,2000,632871626.0,3.4529907984496124,2.452990788941896,19.36847014676186,20.607710897613856,20.26577815859369,1.4935759599663574,8.182279739259018,3,3,45,0.125,3,0.0,0.03234548895722673,249055.52865529773,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9
260000000.0,48.681969,100.0,3330,591794936.0,2010,2010,331794936.0,2.2761343692307694,1.2761343643225602,19.376192192825954,20.198670742638633,19.62002767641191,1.1866641813983883,8.11102783819368,2,3,84,0.2409090909090909,6,0.13636363636363635,0.014614821074752328,177662.84479135394,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4
280000000.0,134.279229,141.0,6767,1405403694.0,2015,2010,1125403694.0,5.019298907142857,4.0192988927882185,19.450300164704952,21.063590425863644,20.84140764823512,1.7949707919311677,8.81996090128606,3,3,69,-0.06944444444444443,5,0.13636363636363635,0.019840311613475176,207654.210106383,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3
250000000.0,98.885637,153.0,5293,933959197.0,2009,2000,683959197.0,3.735836788,2.7358367770566527,19.33697147982652,20.65494331001405,20.343408821760786,1.5551584349946332,8.574329382787047,3,3,30,0.059999999999999984,3,-0.15,0.01867881318473744,176418.4353985644,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4
250000000.0,155.790452,151.0,7004,873260194.0,2016,2010,623260194.0,3.493040776,2.493040766027837,19.33697147982652,20.587744116361193,20.250474638036,1.5025297054975424,8.854379458771108,3,3,60,0.3253787878787879,3,0.0,0.02223989321912919,124662.41170592434,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7
